,uen,entity_name,entity_status_description,block,address,level_no,unit_no,building_name,postal_code,primary_ssic_code,primary_ssic_description,secondary_ssic_code,secondary_ssic_description
57,202026245W,olive stone,Live Company,60,PAYA LEBAR ROAD,12,3,PAYA LEBAR SQUARE,409051,46413,Wholesale of children and infants͛ clothing,46412,na
58,28640400A,orient unify enterprise,Live,5012,ANG MO KIO AVENUE 5,5,06E,TECHPLACE II,569876,46413,Wholesale of children and infants͛ clothing,46100,na
59,202320638H,2l fashion,Live Company,133,NEW BRIDGE ROAD,17,1,CHINATOWN POINT,59413,46413,Wholesale of children and infants͛ clothing,74193,na
60,53260275K,4y trading enterprise,Live,56,CASSIA CRESCENT,11,3,na,391056,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
61,53401906D,dlz services,Live,518,BEDOK NORTH AVENUE 2,2,165,KAKI BUKIT GREEN,460518,46413,Wholesale of children and infants͛ clothing,46412,na
62,202303637K,ponie sg,Live Company,20,COLLYER QUAY,9,1,20 COLLYER QUAY,49319,46413,Wholesale of children and infants͛ clothing,na,WHOLESALES FOR APPAREL
63,53456022M,puffyfriends,Live,528B,PASIR RIS STREET 51,10,645,COSTA RIS,512528,46413,Wholesale of children and infants͛ clothing,na,ONLINE BABY AND CHILDREN CLOTHING AND ACCESSORIES
64,T16LL1125A,penguin poppies llp,Live,180C,RIVERVALE CRESCENT,18,379,RIVERVALE ARC,543180,46413,Wholesale of children and infants͛ clothing,na,na
65,201632418K,roses and rhinos,Live Company,51,GOLDHILL PLAZA,7,10-Nov,na,308900,46413,Wholesale of children and infants͛ clothing,47719,na
66,53371437X,royal baby,Live,683B,EDGEDALE PLAINS,7,699,WATERWAY VIEW,822683,46413,Wholesale of children and infants͛ clothing,na,na
67,07004500C,song kiong childrens wear co,Live,10,ADMIRALTY STREET,6,63,NORTH LINK BUILDING,757695,46413,Wholesale of children and infants͛ clothing,14101,Manufacture of outer garments
68,198100868C,sin wah jewellers goldsmith,Live Company,144,UPPER BUKIT TIMAH ROAD,1,8,BEAUTY WORLD CENTRE,588177,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
69,200910591G,spice collections,Live Company,27,NEW INDUSTRIAL ROAD,7,4,NOVELTY TECHPOINT,536212,46413,Wholesale of children and infants͛ clothing,46599,"IMPORT AND EXPORT OF FASHION CLOTHS,FASHION ACCESSORIES, GOLD AND GARMENTS."
70,202025472R,singapore petsun ecommerce,Live Company,2,VENTURE DRIVE,11,31,VISION EXCHANGE,608526,46413,Wholesale of children and infants͛ clothing,46499,na
71,202310146H,sunshine united international,Live Company,60,PAYA LEBAR ROAD,4,16,PAYA LEBAR SQUARE,409051,46413,Wholesale of children and infants͛ clothing,46412,na
72,202427675E,singapore anyou trading,Live Company,8,KAKI BUKIT AVENUE 4,8,32,PREMIER @ KAKI BUKIT,415875,46413,Wholesale of children and infants͛ clothing,46900,na
73,53353650B,shree enterprise,Live,18,SIMEI STREET 1,1,15,MELVILLE PARK,529943,46413,Wholesale of children and infants͛ clothing,46301,na
74,53492858K,sgbabymall,Live,322D,SUMANG WALK,3,863,PUNGGOL BAYVIEW,824322,46413,Wholesale of children and infants͛ clothing,na,SALE OF CHILDREN OF INFANT CLOTHES AND PRODUCTS
